1.024;13.5;434.6;0.0;53.38;21.39;12.48;20220630;14366
1.024;13.5;433.76;0.0;53.0;21.27;8.64;20220630;15559
1.024;13.5;433.52;0.0;53.38;21.39;40.96;20220630;13200
1.024;13.5;433.16;0.0;53.5;21.37;19.52;20220630;12009
1.024;13.5;432.04; 0.0;53.88;21.34;7.68;20220630;10755
1.024;13.5;431.6; 0.0;54.0;21.72;4.16;20220630;5552
1.024;13.5;428.24; 0.0;53.75;21.33;3.52;20220630;3043
1.024;13.5;425.64; 0.0;53.75;21.38;3.52;20220630;1642
1.024;13.5;430.4; 0.0;54.0;21.33;3.52;20220630;4333
1.024;13.5;425.04; 0.0;53.88;21.38;3.52;20220630;426
1.024;13.5;434.52; 0.0;53.0;21.39;17.92;20220630;20814
1.024;13.5;419.68; 0.0;53.75;21.3;127.04;20220630;34459
1.024;13.5;427.0; 0.0;53.88;21.36;79.36;20220630;30856
1.024;13.5;420.72; 0.0;53.75;21.26;166.08;20220630;33259
1.024;13.5;422.96; 0.0;53.75;21.36;293.12;20220630;32058
1.024;13.5;433.56;0.0;53.0;21.39;45.12;20220630;24422
1.024;13.5;431.92; 0.0;53.5;21.39;34.56;20220630;25623
1.024;13.5;433.6;0.0;52.88;21.39;38.08;20220630;22017
1.024;13.5;433.24; 0.0;52.88;21.39;27.2;20220630;23217
1.024;13.5;417.96; 0.0;53.88;21.26;152.0;20220630;35708
1.024;13.5;416.64;1.0;52.5;21.36;521.6;20220630;53415
1.024;13.5;419.0;1.0;52.25;21.4;489.12;20220630;55837
1.024;13.5;417.48;1.0;52.25;21.36;524.8;20220630;54617
1.024;13.5;415.24;1.0;53.5;21.26;497.28;20220630;45805
1.024;13.5;415.84; 1.0;53.0;21.35;511.68;20220630;52216
1.024;13.5;415.28;1.0;54.25;21.23;520.32;20220630;43350
1.024;13.5;415.84; 1.0;53.25;21.26;557.44;20220630;51012
1.024;13.5;415.64;1.0;54.13;21.23;544.0;20220630;44557
1.024;13.5;415.08; 0.0;54.13;21.23;198.08;20220630;42125
1.024;13.5;416.32; 0.0;54.0;21.26;196.48;20220630;40910
1.024;13.5;435.8; 1.0;51.25;21.41;521.6;20220630;74820
1.024;13.5;448.36; 1.0;51.13;21.48;509.76;20220630;80013
1.024;13.5;429.24; 1.0;51.63;21.41;571.84;20220630;72423
1.024;13.5;440.28; 1.0;51.25;21.41;531.52;20220630;73619
1.024;13.5;437.79;1.0;51.88;21.40;403.52;20220630;70014
1.024;13.5;439.0; 1.0;51.63;21.40;553.6;20220630;71237
1.024;13.5;428.44; 1.0;52.0;21.39;506.88;20220630;62320
1.024;13.5;434.96; 1.0;51.88;21.40;567.04;20220630;64742
1.024;13.5;439.32; 1.0;51.88;21.40;529.6;20220630;63526
1.024;13.5;419.52; 0.0;52.25;21.40;306.56;20220630;61109
1.024;13.5;461.84; 1.0;52.5;21.44;563.2;20220630;100238
1.024;13.5;461.68; 1.0;52.13;21.44;505.6;20220630;94948
1.024;13.5;445.92; 1.0;51.5;21.44;556.48;20220630;93733
1.024;13.5;435.24; 1.0;50.75;21.44;386.56;20220630;91303
1.024;13.5;425.32; 1.0;50.75;21.48;371.52;20220630;84831
1.024;13.5;439.32; 1.0;50.75;21.46;283.52;20220630;92515
1.024;13.5;440.12; 1.0;51.13;21.49;318.4;20220630;82421
1.024;13.5;428.84; 1.0;50.88;21.48;346.24;20220630;83623
1.024;13.5;427.6; 1.0;50.63;21.43;413.12;20220630;90055
1.024;13.5;444.24; 1.0;51.13;21.48;494.72;20220630;81235
1.024;13.5;466.08; 1.0;52.63;21.44;498.24;20220630;101544
1.024;13.5;431.08; 1.0;52.75;21.4;320.96;20220630;124512
1.024;13.5;446.48; 1.0;52.0;21.5;489.92;20220630;112915
1.024;13.5;461.08; 1.0;52.38;21.49;458.56;20220630;102845
1.024;13.5;456.32; 1.0;52.25;21.49;523.84;20220630;104045
1.024;13.5;450.0;1.0;52.13;21.49;333.12;20220630;111658
1.024;13.5;440.08; 1.0;52.13;21.51;321.28;20220630;121924
1.024;13.5;435.6; 1.0;52.38;21.53;336.64;20220630;123310
1.024;13.5;457.44; 1.0;52.13;21.49;613.76;20220630;105242
1.024;13.5;453.96;1.0;52.13;21.49;422.72;20220630;110446
1.024;13.5;431.84; 1.0;52.86;21.53;400.32;20220630;125647
1.024;13.5;433.76; 1.0;52.88;21.54;252.48;20220630;130951
1.024;13.5;425.4; 1.0;52.88;21.52;263.6;20220630;133714
1.024;13.5;420.36;0.0;54.63;21.48;76.48;20220630;140316
1.024;13.5;421.08;0.0;53.5;21.52;84.8;20220630;135029
1.024;13.5;427.44; 1.0;53.0;21.54;272.0;20220630;132355
1.024;13.5;418.4;0.0;54.75;21.37;80.32;20220630;152441
