1.024; 13.5; 20220630; deleted; 435;0;53;21;12;
1.024; 13.5; 20220630; deleted; 434;0;53;21;9;
1.024; 13.5; 20220630; deleted; 434;0;53;21;41;
1.024; 13.5; 20220630; deleted; 433;0;54;21;20;
1.024; 13.5; 20220630; deleted; 432;0;54;21;8;
1.024; 13.5; 20220630; deleted; 432;0;54;22;4;
1.024; 13.5; 20220630; deleted; 428;0;54;21;4;
1.024; 13.5; 20220630; deleted; 426;0;54;21;4;
1.024; 13.5; 20220630; deleted; 430;0;54;21;4;
1.024; 13.5; 20220630; deleted; 425;0;54;21;4;
1.024; 13.5; 20220630; deleted; 435;0;53;21;18;
1.024; 13.5; 20220630; deleted; 420;0;54;21;127;
1.024; 13.5; 20220630; deleted; 427;0;54;21;79;
1.024; 13.5; 20220630; deleted; 421;0;54;21;166;
1.024; 13.5; 20220630; deleted; 423;0;54;21;293;
1.024; 13.5; 20220630; deleted; 434;0;53;21;45;
1.024; 13.5; 20220630; deleted; 432;0;54;21;35;
1.024; 13.5; 20220630; deleted; 434;0;53;21;38;
1.024; 13.5; 20220630; deleted; 433;0;53;21;27;
1.024; 13.5; 20220630; deleted; 418;0;54;21;152;
1.024; 13.5; 20220630; deleted; 417;1;53;21;522;
1.024; 13.5; 20220630; deleted; 419;1;52;21;489;
1.024; 13.5; 20220630; deleted; 417;1;52;21;525;
1.024; 13.5; 20220630; deleted; 415;1;54;21;497;
1.024; 13.5; 20220630; deleted; 416;1;53;21;512;
1.024; 13.5; 20220630; deleted; 415;1;54;21;520;
1.024; 13.5; 20220630; deleted; 416;1;53;21;557;
1.024; 13.5; 20220630; deleted; 416;1;54;21;544;
1.024; 13.5; 20220630; deleted; 415;0;54;21;198;
1.024; 13.5; 20220630; deleted; 416;0;54;21;196;
1.024; 13.5; 20220630; deleted; 436;1;51;21;522;
1.024; 13.5; 20220630; deleted; 448;1;51;21;510;
1.024; 13.5; 20220630; deleted; 429;1;52;21;572;
1.024; 13.5; 20220630; deleted; 440;1;51;21;532;
1.024; 13.5; 20220630; deleted; 438;1;52;21;404;
1.024; 13.5; 20220630; deleted; 439;1;52;21;554;
1.024; 13.5; 20220630; deleted; 428;1;52;21;507;
1.024; 13.5; 20220630; deleted; 435;1;52;21;567;
1.024; 13.5; 20220630; deleted; 439;1;52;21;530;
1.024; 13.5; 20220630; deleted; 420;0;52;21;307;
1.024; 13.5; 20220630; deleted; 462;1;53;21;563;
1.024; 13.5; 20220630; deleted; 462;1;52;21;506;
1.024; 13.5; 20220630; deleted; 446;1;52;21;556;
1.024; 13.5; 20220630; deleted; 435;1;51;21;387;
1.024; 13.5; 20220630; deleted; 425;1;51;21;372;
1.024; 13.5; 20220630; deleted; 439;1;51;21;284;
1.024; 13.5; 20220630; deleted; 440;1;51;21;318;
1.024; 13.5; 20220630; deleted; 429;1;51;21;346;
1.024; 13.5; 20220630; deleted; 428;1;51;21;413;
1.024; 13.5; 20220630; deleted; 444;1;51;21;495;
1.024; 13.5; 20220630; deleted; 466;1;53;21;498;
1.024; 13.5; 20220630; deleted; 431;1;53;21;321;
1.024; 13.5; 20220630; deleted; 446;1;52;22;490;
1.024; 13.5; 20220630; deleted; 461;1;52;21;459;
1.024; 13.5; 20220630; deleted; 456;1;52;21;524;
1.024; 13.5; 20220630; deleted; 450;1;52;21;333;
1.024; 13.5; 20220630; deleted; 440;1;52;22;321;
1.024; 13.5; 20220630; deleted; 436;1;52;22;337;
1.024; 13.5; 20220630; deleted; 457;1;52;21;614;
1.024; 13.5; 20220630; deleted; 454;1;52;21;423;
1.024; 13.5; 20220630; deleted; 432;1;53;22;400;
1.024; 13.5; 20220630; deleted; 434;1;53;22;252;
1.024; 13.5; 20220630; deleted; 425;1;53;22;264;
1.024; 13.5; 20220630; deleted; 420;0;55;21;76;
1.024; 13.5; 20220630; deleted; 421;0;54;22;85;
1.024; 13.5; 20220630; deleted; 427;1;53;22;272;
1.024; 13.5; 20220630; deleted; 418;0;55;21;80;
