3.022;0; 405.76; 1.0; 49.0; 21.96; 0.0;20220630;084831
3.029;0; 404.8; 0.0; 50.0; 21.16; 0.0;20220630;084831
3.030;0; 409.92; 1.0; 49.0; 21.54; 0.0;20220630;084831
3.031;0; 416.96; 1.0; 48.0; 21.8; 0.0;20220630;084831
3.032;0; 408.96; 0.0; 45.0; 23.14; 0.0;20220630;084831
3.033;2; 448.96; 1.0; 43.0; 22.54; 0.0;20220630;084831
3.033;3; 448.0; 1.0; 47.0; 22.1; 0.0;20220630;084831
3.048;0; 426.88; 0.0; 44.0; 23.84; 120.32;20220630;084831
3.049;1; 436.8; 1.0; 46.0; 23.16; 0.0;20220630;084831
3.049;2; 488.96; 1.0; 46.0; 22.76; 0.0;20220630;084831
3.049;3; 432.0; 1.0; 45.0; 22.58; 0.0;20220630;084831
3.049;4; 432.0; 1.0; 46.0; 22.68; 0.0;20220630;084831
3.049;5; 430.72; 1.0; 44.0; 23.24; 0.0;20220630;084831
3.050;0; 462.72; 1.0; 48.0; 21.54; 929.28;20220630;084831
4.022;1; 406.72; 1.0; 45.0; 22.96; 0.0;20220630;084831
4.022;2; 425.92; 1.0; 44.0; 22.76; 0.0;20220630;084831
4.022;4; 528.96; 1.0; 45.0; 22.62; 0.0;20220630;084831
4.026;0; 428.8; 1.0; 47.0; 21.68; 0.0;20220630;084831
4.034;0; 489.92; 1.0; 47.0; 22.3; 0.0;20220630;084831
4.035;0; 443.84; 1.0; 47.0; 21.46; 0.0;20220630;084831
4.036;0; 502.72; 1.0; 43.0; 23.6; 0.0;20220630;084831
4.037;2; 548.8; 1.0; 44.0; 22.92; 0.0;20220630;084831
4.037;3; 516.8; 1.0; 47.0; 22.14; 0.0;20220630;084831
4.037;4; 514.88; 1.0; 45.0; 22.84; 0.0;20220630;084831
4.037;5; 547.84; 1.0; 48.0; 22.1; 0.0;20220630;084831
4.052;1; 440.96; 1.0; 42.0; 21.6; 478.72;20220630;084831
4.053;0; 608.0; 1.0; 45.0; 22.72; 166.4;20220630;084831
5.008;1; 417.92; 0.0; 43.0; 23.44; 25.6;20220630;084831
5.008;2; 428.8; 0.0; 45.0; 22.64; 38.4;20220630;084831
5.008;3; 424.96; 0.0; 43.0; 22.8; 1592.32;20220630;084831
5.008;4; 472.96; 1.0; 44.0; 22.34; 509.44;20220630;084831
5.008;5; 424.96; 0.0; 45.0; 22.74; 0.0;20220630;084831
5.008;6; 422.72; 0.0; 45.0; 22.64; 0.0;20220630;084831
5.009;0; 428.8; 0.0; 46.0; 22.86; 1392.64;20220630;084831
5.010;0; 429.76; 0.0; 42.0; 23.86; 2.56;20220630;084831
5.011;0; 411.84; 1.0; 43.0; 22.88; 92.16;20220630;084831
5.022;0; 413.76; 0.0; 45.0; 21.94; 117.76;20220630;084831
5.023;1; 417.92; 0.0; 49.0; 20.94; 0.0;20220630;084831
