G.006; 0; 425.92; 1.0; 48.0; 21.54; 0.0; 
G.007; 0; 429.76; 1.0; 49.0; 20.9; 0.0; 
G.009; 1; 426.88; 1.0; 47.0; 21.66; 0.0; 
G.010; 0; 441.92; 0.0; 52.0; 20.52; 0.0; 
G.011; 0; 440.96; 0.0; 48.0; 21.44; 0.0; 
G.012; 0; 430.72; 1.0; 52.0; 21.54; 0.0; 
G.019; 0; 442.88; 1.0; 49.0; 21.4; 0.0; 
G.020; 0; 409.92; 0.0; 46.0; 22.84; 0.0; 
G.021; 0; 445.76; 1.0; 49.0; 21.26; 0.0; 
G.022; 0; 501.76; 1.0; 45.0; 22.96; 0.0; 
G.044; 0; 414.72; 0.0; 46.0; 22.98; 0.0; 
G.054; 0; 430.72; 0.0; 50.0; 21.94; 0.0; 
G.069; 0; 418.88; 1.0; 52.0; 20.74; 0.0; 
1.005; 0; 412.8; 1.0; 46.0; 23.96; 291.84; 
1.010; 0; 414.72; 0.0; 52.0; 21.04; 115.2; 
1.017; 0; 440.96; 0.0; 42.0; 23.98; 5.12; 
1.018; 0; 582.72; 0.0; 51.0; 22.06; 99.84; 
1.024; 10; 444.8; 1.0; 53.0; 21.2; 0.0; 
1.024; 11; 437.76; 1.0; 52.0; 21.0; 691.2; 
1.024; 12; 438.72; 1.0; 51.0; 21.08; 330.24; 
1.024; 13; 433.92; 1.0; 52.0; 21.36; 322.56; 
1.024; 14; 440.96; 1.0; 49.0; 21.74; 494.08; 
1.024; 15; 443.84; 0.0; 50.0; 21.78; 194.56; 
1.024; 16; 445.76; 0.0; 50.0; 21.58; 38.4; 
1.024; 17; 428.8; 1.0; 49.0; 21.9; 197.12; 
1.025; 0; 489.92; 1.0; 53.0; 21.8; 1072.64; 
1.025A; 0; 602.88; 1.0; 57.0; 20.46; 0.0; 
1.026; 0; 410.88; 0.0; 56.0; 20.04; 38.4; 
1.025B; 0; 595.84; 1.0; 53.0; 20.14; 0.0; 
1.043; 0; 942.72; 1.0; 54.0; 22.32; 1280.0; 
2.005; 0; 424.0; 1.0; 52.0; 20.24; 627.2; 
2.008; 0; 436.8; 1.0; 52.0; 21.14; 409.6; 
2.014; 0; 434.88; 1.0; 51.0; 21.6; 970.24; 
2.015; 0; 427.84; 1.0; 46.0; 22.86; 540.16; 
2.017; 0; 476.8; 0.0; 46.0; 22.18; 691.2; 
2.019; 1; 531.84; 1.0; 44.0; 22.9; 291.84; 
2.019; 3; 466.88; 1.0; 45.0; 22.66; 565.76; 
2.020; 0; 448.0; 0.0; 45.0; 23.02; 0.0; 
2.021; 0; 418.88; 1.0; 48.0; 22.66; 0.0; 
2.022; 1; 408.0; 1.0; 55.0; 20.42; 0.0; 
2.026; 0; 408.96; 0.0; 51.0; 21.56; 40.96; 
2.027; 0; 417.92; 0.0; 50.0; 21.66; 35.84; 
2.037; 1; 426.88; 1.0; 52.0; 21.34; 138.24; 
2.037; 2; 416.96; 1.0; 52.0; 21.36; 97.28; 
2.038; 1; 481.92; 1.0; 48.0; 22.66; 176.64; 
2.038; 2; 580.8; 1.0; 49.0; 22.84; 373.76; 
2.048; 1; 429.76; 0.0; 49.0; 21.26; 207.36; 
2.048; 2; 544.0; 0.0; 48.0; 21.84; 76.8; 
2.048; 4; 438.72; 1.0; 47.0; 21.42; 158.72; 
2.048; 5; 466.88; 1.0; 49.0; 20.92; 547.84; 
2.058; 1; 461.76; 1.0; 53.0; 20.88; 514.56; 
2.058; 2; 464.0; 1.0; 51.0; 21.74; 217.6; 
2.060; 0; 420.8; 0.0; 47.0; 22.46; 640.0; 
3.004; 0; 416.0; 0.0; 45.0; 23.06; 0.0; 
3.005; 1; 448.96; 0.0; 54.0; 20.14; 0.0; 
3.005; 2; 448.96; 0.0; 54.0; 20.42; 0.0; 
3.005; 3; 412.8; 0.0; 54.0; 19.4; 0.0; 
3.005; 4; 424.0; 0.0; 53.0; 19.84; 0.0; 
3.007; 0; 442.88; 1.0; 49.0; 21.72; 0.0; 
3.014; 0; 437.76; 1.0; 50.0; 21.76; 0.0; 
3.015; 1; 416.96; 0.0; 49.0; 22.3; 0.0; 
3.015; 2; 409.92; 0.0; 45.0; 23.26; 0.0; 
3.015; 3; 402.88; 0.0; 47.0; 23.0; 0.0; 
3.015; 4; 406.72; 0.0; 50.0; 22.56; 0.0; 
