G.006; 0; 424.96; 1.0; 48.0; 21.34; 0.0; 
G.007; 0; 422.72; 1.0; 49.0; 20.8; 0.0; 
G.009; 1; 424.0; 1.0; 48.0; 21.7; 0.0; 
G.010; 0; 440.96; 0.0; 51.0; 20.64; 0.0; 
G.011; 0; 438.72; 0.0; 49.0; 21.54; 0.0; 
G.012; 0; 430.72; 1.0; 52.0; 21.66; 0.0; 
G.019; 0; 449.92; 1.0; 48.0; 21.46; 0.0; 
G.020; 0; 410.88; 1.0; 46.0; 22.92; 0.0; 
G.021; 0; 448.0; 1.0; 50.0; 21.28; 0.0; 
G.022; 0; 472.0; 1.0; 47.0; 23.04; 0.0; 
G.044; 0; 413.76; 0.0; 46.0; 22.98; 0.0; 
G.054; 0; 449.92; 0.0; 50.0; 21.94; 0.0; 
G.069; 0; 416.0; 0.0; 53.0; 20.54; 0.0; 
1.005; 0; 419.84; 1.0; 45.0; 24.16; 363.52; 
1.010; 0; 418.88; 1.0; 50.0; 20.82; 299.52; 
1.017; 0; 443.84; 0.0; 43.0; 23.88; 5.12; 
1.018; 0; 469.76; 0.0; 50.0; 21.78; 153.6; 
1.024; 10; 457.92; 1.0; 53.0; 21.3; 0.0; 
1.024; 11; 442.88; 1.0; 53.0; 21.0; 939.52; 
1.024; 12; 446.72; 1.0; 52.0; 21.14; 330.24; 
1.024; 13; 434.88; 1.0; 52.0; 21.46; 983.04; 
1.024; 14; 420.8; 1.0; 50.0; 21.72; 540.16; 
1.024; 15; 427.84; 1.0; 50.0; 21.78; 860.16; 
1.024; 16; 435.84; 1.0; 50.0; 21.56; 171.52; 
1.024; 17; 520.0; 1.0; 49.0; 21.9; 253.44; 
1.025; 0; 442.88; 1.0; 53.0; 21.82; 947.2; 
1.025A; 0; 425.92; 1.0; 56.0; 20.4; 0.0; 
1.026; 0; 409.92; 0.0; 57.0; 20.04; 115.2; 
1.025B; 0; 416.96; 0.0; 54.0; 20.18; 0.0; 
1.043; 0; 424.96; 0.0; 51.0; 21.36; 156.16; 
2.005; 0; 412.8; 0.0; 52.0; 20.36; 360.96; 
2.008; 0; 430.72; 1.0; 50.0; 21.38; 386.56; 
2.014; 0; 457.92; 1.0; 49.0; 21.84; 939.52; 
2.015; 0; 430.72; 1.0; 46.0; 22.76; 576.0; 
2.017; 0; 464.0; 0.0; 47.0; 22.08; 1067.52; 
2.019; 1; 545.92; 1.0; 44.0; 22.76; 450.56; 
2.019; 3; 448.0; 1.0; 46.0; 22.5; 819.2; 
2.020; 0; 449.92; 0.0; 45.0; 23.06; 0.0; 
2.021; 0; 414.72; 1.0; 49.0; 22.58; 0.0; 
2.022; 1; 397.76; 0.0; 55.0; 20.42; 0.0; 
2.026; 0; 398.72; 0.0; 51.0; 21.56; 40.96; 
2.027; 0; 414.72; 0.0; 50.0; 21.64; 35.84; 
2.037; 1; 412.8; 1.0; 53.0; 21.34; 138.24; 
2.037; 2; 414.72; 1.0; 52.0; 21.32; 478.72; 
2.038; 1; 484.8; 1.0; 49.0; 22.6; 215.04; 
2.038; 2; 517.76; 1.0; 50.0; 22.86; 422.4; 
2.048; 1; 429.76; 1.0; 50.0; 21.14; 524.8; 
2.048; 2; 512.96; 1.0; 48.0; 21.8; 409.6; 
2.048; 4; 440.0; 1.0; 47.0; 21.46; 148.48; 
2.048; 5; 464.96; 1.0; 50.0; 21.08; 440.32; 
2.058; 1; 461.76; 1.0; 53.0; 21.08; 294.4; 
2.058; 2; 461.76; 1.0; 51.0; 21.94; 294.4; 
2.060; 0; 418.88; 0.0; 47.0; 22.68; 496.64; 
3.004; 0; 427.84; 0.0; 44.0; 23.4; 0.0; 
3.005; 1; 450.88; 0.0; 55.0; 20.22; 0.0; 
3.005; 2; 445.76; 0.0; 55.0; 20.48; 0.0; 
3.005; 3; 412.8; 0.0; 54.0; 19.54; 0.0; 
3.005; 4; 424.96; 0.0; 54.0; 19.9; 0.0; 
3.007; 0; 436.8; 1.0; 50.0; 21.8; 0.0; 
3.014; 0; 435.84; 1.0; 50.0; 21.78; 0.0; 
3.015; 1; 417.92; 0.0; 48.0; 22.22; 0.0; 
3.015; 2; 401.92; 0.0; 45.0; 23.2; 0.0; 
3.015; 3; 400.0; 0.0; 45.0; 23.0; 0.0; 
3.015; 4; 403.84; 0.0; 49.0; 22.54; 0.0; 
3.015; 5; 410.88; 0.0; 46.0; 22.92; 0.0; 
3.015; 6; 398.72; 0.0; 47.0; 22.58; 0.0; 
3.015; 7; 417.92; 0.0; 45.0; 23.02; 0.0; 
3.015; 8; 419.84; 0.0; 46.0; 22.82; 0.0; 
3.015; 9; 406.72; 0.0; 46.0; 22.48; 0.0; 
3.018; 1; 417.92; 0.0; 50.0; 21.68; 0.0; 
3.018; 2; 404.8; 0.0; 51.0; 21.46; 0.0; 
3.018; 3; 411.84; 0.0; 50.0; 21.64; 0.0; 
3.018; 4; 424.96; 0.0; 51.0; 21.78; 0.0; 
3.022; 0; 408.96; 1.0; 49.0; 21.9; 0.0; 
3.029; 0; 405.76; 1.0; 50.0; 21.16; 0.0; 
3.030; 0; 405.76; 1.0; 51.0; 21.34; 0.0; 
3.031; 0; 413.76; 1.0; 49.0; 21.8; 0.0; 
3.032; 0; 412.8; 0.0; 46.0; 23.16; 0.0; 
3.033; 2; 422.72; 1.0; 42.0; 22.58; 0.0; 
3.033; 3; 451.84; 1.0; 47.0; 22.1; 0.0; 
3.048; 0; 427.84; 0.0; 44.0; 24.02; 417.28; 
3.049; 1; 416.96; 1.0; 45.0; 23.32; 0.0; 
3.049; 2; 467.84; 1.0; 45.0; 22.98; 0.0; 
